Bowler,Cluster,DPPI_Bowl
TG Southee,1,1.9315076096549655
Rashid Khan,1,1.9175219016826561
SL Malinga,1,1.8383191525148637
Saeed Ajmal,1,1.8252959953743644
Mustafizur Rahman,1,1.7791957864231878
CJ Jordan,1,1.7543172321326925
Haris Rauf,1,1.752299428851685
B Kumar,1,1.7481977475284882
JJ Bumrah,1,1.7053110580685336
Mohammad Amir,1,1.6818823826839147
Hasan Ali,1,1.6564427040075314
DJ Bravo,1,1.6353563097000403
LM Jongwe,1,1.6272107642702427
TA Boult,1,1.6237406304013509
Shaheen Shah Afridi,1,1.6076920291316141
Umar Gul,1,1.6040036153687813
IS Sodhi,1,1.602120762642982
Mohammad Nabi,1,1.585859946289621
SM Sharif,1,1.5781223156919189
L Ngidi,1,1.5627910486898733
K Rabada,1,1.5557361122228215
MR Adair,1,1.532624924500171
SP Narine,1,1.5289524137376636
Zahoor Khan,1,1.5198996607261568
Rohan Mustafa,1,1.510522912774095
LH Ferguson,1,1.5000726732002163
Shakib Al Hasan,1,1.495776387153429
WD Parnell,1,1.4858418470863248
B Muzarabani,1,1.4799039778461107
Bilal Khan,1,1.4665002102631899
TL Chatara,1,1.4608203731154419
MJ Santner,1,1.4566917960383476
KMDN Kulasekara,1,1.4498846563031627
Arshdeep Singh,1,1.4382297499718446
DW Steyn,1,1.4353909050390294
R Ashwin,1,1.4287952647465554
Washeem Abbas,1,1.4266115948606204
M Morkel,1,1.422563173099387
R Ngarava,1,1.4178336124125581
AL Phehlukwayo,1,1.4094642722204904
PWH de Silva,1,1.404682814618429
DJ Willey,1,1.4015725287120537
PA van Meekeren,1,1.3966889254200414
DM Nakrani,1,1.3952882289862434
HH Pandya,1,1.3893470019572778
SN Thakur,1,1.3816137137880196
Dawlat Zadran,1,1.379585911707425
HV Patel,1,1.3782538483107707
Taskin Ahmed,1,1.3773072530820505
YS Chahal,1,1.372094184995169
Ijaz Hussain,1,1.371549686845558
JO Holder,1,1.3698870850353793
GH Dockrell,1,1.3691877864755049
JJ Smit,1,1.3654650525340035
JN Frylinck,1,1.3577405672198921
SS Cottrell,1,1.3454128763328406
