Bowler,Cluster,DPPI_Bowl
Shadab Khan,1,2.080548121783908
IS Sodhi,1,2.059289334529079
Shahid Afridi,1,1.9762979081817473
YS Chahal,1,1.9201986783436225
AU Rashid,1,1.9136996190061315
Rashid Khan,1,1.8978467576596794
T Shamsi,1,1.893140104440272
MJ Santner,1,1.8822733440862367
Shakib Al Hasan,1,1.822323958874158
Mohammad Nabi,1,1.81750263374287
HH Pandya,1,1.7739915675544562
A Zampa,1,1.7447402240639798
PWH de Silva,1,1.7298102443842032
NL McCullum,1,1.6710652925429759
GH Dockrell,1,1.6622036111521505
R Ashwin,1,1.657230104879706
PM Seelaar,1,1.6541346893668516
Mohammad Hafeez,1,1.6522898937874682
Ahmed Raza,1,1.6377616901048122
Imad Wasim,1,1.6196901672728852
Imran Tahir,1,1.6045052516448322
SC Williams,1,1.6037955708746385
MRJ Watt,1,1.5970625784990118
Sikandar Raza,1,1.556375407944765
Karim Janat,1,1.5459200938446112
RE van der Merwe,1,1.5455517026862389
DL Vettori,1,1.5409236128157788
SP Narine,1,1.536385282252802
MM Ali,1,1.5343341423671153
DJG Sammy,1,1.5336407535881458
RA Jadeja,1,1.5133435206702015
Kuldeep Yadav,1,1.511177966733334
AR Patel,1,1.5074500064054888
BM Scholtz,1,1.5058511381290647
Saeed Ajmal,1,1.5023965270333894
RP Burl,1,1.4993680134106342
H Ssenyondo,1,1.4949285037826456
NLTC Perera,1,1.4940669188491875
GP Swann,1,1.4936354599447677
J Botha,1,1.4766272405982754
WP Masakadza,1,1.4735441015916675
S Lamichhane,1,1.4724681686463499
MA Leask,1,1.4680442941536516
Mustafizur Rahman,1,1.4566622372073614
KA Pollard,1,1.4414787252798338
AC Agar,1,1.4411019923963313
AG Cremer,1,1.4389011055367331
Taranjeet Singh,1,1.4354753597583996
Samiullah Shenwari,1,1.422019255287609
SO Ngoche,1,1.4158040101014422
KJ O'Brien,1,1.4106114618379069
S Thakor,1,1.3974199817396977
Usman Qadir,1,1.3968420757813347
Vraj Patel,1,1.3953354523425272
BAW Mendis,1,1.393927037053404
DJ Bravo,1,1.3918328110898814
AL Phehlukwayo,1,1.3910647777888878
D Maisuria,1,1.3855217912271112
MN Samuels,1,1.3812355521564368
JP Duminy,1,1.3730965184767372
AM Phangiso,1,1.3698452223493722
Simi Singh,1,1.3677721632761444
SL Malinga,1,1.3660304098572007
Yuvraj Singh,1,1.3580927517793275
Saad Bin Zafar,1,1.3547633071245127
TG Southee,1,1.3536333790251103
K Irakoze,1,1.3386517386465249
Mohammad Nawaz,1,1.337411124485561
PVD Chameera,1,1.3324088217882457
Khawar Ali,1,1.3254803254183467
GJ Maxwell,1,1.3245884872834122
MG Johnson,1,1.3215938781672811
Ehsan Khan,1,1.3203184760471962
AJ Hosein,1,1.317230803567811
Zeeshan Maqsood,1,1.3171851569694035
B Ward,1,1.3170385736661667
Harbhajan Singh,1,1.3159688488431052
Mahmudullah,1,1.3156866875708664
CJA Amini,1,1.3150742431838174
Mujeeb Ur Rahman,1,1.315057167215552
AD Russell,1,1.3143880653887294
Rohan Mustafa,1,1.3080902492091735
D Wiese,1,1.3059888234398769
WD Parnell,1,1.3032184985907505
V Saini,1,1.3015081042474976
J Baguma,1,1.3013480369029664
JN Frylinck,1,1.2864703602605192
Fitri Sham,1,1.2841324091910964
Mashrafe Mortaza,1,1.284130820710432
Virandeep Singh,1,1.281369884810064
Wahab Riaz,1,1.281199787743353
CR Brathwaite,1,1.2811262156258771
Zahoor Khan,1,1.2751134137188365
Haris Rauf,1,1.2705842289637732
Muslim Yar,1,1.2685648842848576
Taskin Ahmed,1,1.26542241979342
Faheem Ashraf,1,1.2637246138251996
RJ Peterson,1,1.2612097927970778
P Mishra,1,1.2544176481595646
PF Gallagher,1,1.2541408038257056
SR Watson,1,1.2539732094345606
Hasan Ali,1,1.2522095531563544
JDS Neesham,1,1.2459554239330384
CW Perchard,1,1.2458782400819697
KP Meiyappan,1,1.2424202872122565
SVE Bharathi,1,1.2406534914020537
AF Milne,1,1.2380813971000788
K Nassoro,1,1.2373936662346234
D Pretorius,1,1.2369349131619563
LM Jongwe,1,1.236207086409845
M Theekshana,1,1.234528265355861
Aizaz Khan,1,1.2326702012370736
Aminul Islam,1,1.2311109732325414
Ravi Bishnoi,1,1.230748365172181
Shoaib Malik,1,1.2294463858792308
CBRLS Kumara,1,1.225796214205012
S Muniandy,1,1.2247870911713545
Dawood Ahmadzai,1,1.2215093810823203
V Ganesan,1,1.2207114869522973
Raza Iqbal,1,1.2197966690070277
Khizar Hayat,1,1.2176976658666132
HR Walsh,1,1.215452442679466
TA Boult,1,1.2133047771417749
HMRKB Herath,1,1.2128018048993463
RD Berrington,1,1.2123303381537007
CO Obuya,1,1.2070791575527533
Abdullah Akbarjan,1,1.2057163042827148
P Utseya,1,1.205687053912884
KA Maharaj,1,1.2050855429425176
MNM Aslam,1,1.2033688746300537
Sirajullah Khadim,1,1.2031467277654166
V Baskaran,1,1.2030278053460577
Mohammad Nawaz (3),1,1.2030209823949307
LE Plunkett,1,1.2015880956236664
CJ Jordan,1,1.2009080575331716
JO Holder,1,1.1975960060189306
AD Mathews,1,1.1948144722507625
A Krishna,1,1.1929265631315786
B Arora,1,1.192873656576688
R Nehonde,1,1.1801003606845926
Washington Sundar,1,1.1785386445751294
ST Jayasuriya,1,1.1762359256525525
LH Ferguson,1,1.1758899416925537
Nasum Ahmed,1,1.1758877163527963
SB Styris,1,1.1751586573808166
S Bodha,1,1.1748109474888562
B White,1,1.1735823770683593
DJ Hussey,1,1.1727880355809535
PA van Meekeren,1,1.1676297099395012
AD Mascarenhas,1,1.167109385156115
M Muralitharan,1,1.1659139232716589
Umar Gul,1,1.1637562409195261
HV Patel,1,1.1621286270031699
MD Shanaka,1,1.1614799790717902
MA Wood,1,1.1606284413698005
A Vala,1,1.159427226549691
Shaheen Shah Afridi,1,1.1575350054449285
B Regmi,1,1.1568103345623217
Anwar Rahman,1,1.155866708014921
GF Linde,1,1.1544585815402337
