Bowler,Cluster,DPPI_Bowl
B Kumar,0,1.894338301861978
TG Southee,0,1.8354283113909835
Mujeeb Ur Rahman,0,1.7260310786547024
Shakib Al Hasan,0,1.710950689379131
Mohammad Amir,0,1.6990086813664629
SL Malinga,0,1.6593260991954004
Mustafizur Rahman,0,1.63738462753335
DW Steyn,0,1.6311367178323048
S Badree,0,1.6276164829829989
TA Boult,0,1.6216898562885962
DJ Willey,0,1.6205981578684683
Imad Wasim,0,1.6001154821770216
Pavandeep Singh,0,1.5971286289834503
Sohail Tanvir,0,1.5893278293105535
SM Sharif,0,1.5851565701950108
WD Parnell,0,1.578306506162328
Shaheen Shah Afridi,0,1.5726258058261056
K Rabada,0,1.571565799145814
KD Mills,0,1.57096617771058
F Nsubuga,0,1.566848245473989
CJ Jordan,0,1.5574296371488325
Taskin Ahmed,0,1.551610164820442
KMDN Kulasekara,0,1.5484938702597746
JJ Bumrah,0,1.5476953593742953
TL Chatara,0,1.5401194197316264
R Rampaul,0,1.5366790410353897
SCJ Broad,0,1.5274547122282356
Bilal Khan,0,1.5090154394635737
PA van Meekeren,0,1.5002923793097418
Arshdeep Singh,0,1.4875352919975837
MJ Santner,0,1.4838947157000975
L Ngidi,0,1.4704338222619124
PVD Chameera,0,1.4681777348958565
J Little,0,1.465168717279881
MR Adair,0,1.461969006004624
AD Mathews,0,1.4593893415892634
Mohammad Nabi,0,1.4573789711140204
MA Starc,0,1.45713276358147
M Mooketsi,0,1.453285927255502
Junaid Siddique,0,1.447427629373009
B Muzarabani,0,1.4424956955440775
Haris Rauf,0,1.4423372506253993
FJ Klaassen,0,1.4334662352897172
SS Cottrell,0,1.4314669387726622
WB Rankin,0,1.4248419637195953
Sompal Kami,0,1.4230598548326072
A Dananjaya,0,1.417538664309589
A Nehra,0,1.4079142839335754
Nasum Ahmed,0,1.4062125764003641
Hasan Ali,0,1.4038076389743115
Faheem Ashraf,0,1.389382913000364
SO Ngoche,0,1.385584435252076
PJ Cummins,0,1.3818077225718464
Shapoor Zadran,0,1.376163538044915
CA Young,0,1.3760045872901978
LH Ferguson,0,1.3752568348554601
Mohammad Naveed,0,1.371610816754646
E Otieno,0,1.3716023207535049
V Baskaran,0,1.369678662990883
Mudassar Bukhari,0,1.3659780469745717
M Morkel,0,1.365359296443042
Janak Prakash,0,1.3639985546140871
B Lee,0,1.3561868710060496
AF Milne,0,1.354857835843015
Naveen-ul-Haq,0,1.3504805124303032
MJ McClenaghan,0,1.3469591625994721
JH Davey,0,1.3426044007860851
Aizaz Khan,0,1.342205298717324
Junaid Khan,0,1.3396347390487122
Shoaib Akhtar,0,1.3367057428858145
JW Dernbach,0,1.3352348987662865
LL Tsotsobe,0,1.3319460983185225
T van der Gugten,0,1.3249220931428165
JR Hazlewood,0,1.3212674870419294
M Theekshana,0,1.320815025013946
Aqib Iqbal,0,1.3199226286943
YS Chahal,0,1.3199119809883764
R Ngarava,0,1.3195582132338939
Karan KC,0,1.318148173062615
Mahedi Hasan,0,1.3138680014111621
RJW Topley,0,1.3088925915473562
HH Pandya,0,1.3053162640076716
SW Tait,0,1.305168010739949
O Thomas,0,1.3035616627060884
Amjad Mahboob,0,1.3028267566649292
H Lakov,0,1.3006605232839035
SE Bond,0,1.2939648241410364
Z Bimenyimana,0,1.2892465029216096
DP Nannes,0,1.283365250428472
R Ashwin,0,1.2817932970537003
Umar Gul,0,1.2802354403084282
Ghulam Ahmadi,0,1.2795660480107127
BA Pai,0,1.2779073932907032
BTJ Wheal,0,1.2771008693534944
BE Hendricks,0,1.2738522505518222
Fazalhaq Farooqi,0,1.2697580554265333
JO Holder,0,1.263420594390471
A Nortje,0,1.2621822811903602
Amjad Javed,0,1.2613615030904215
Mohammad Hafeez,0,1.2576260275691995
Amir Hamza,0,1.2535683131823105
Dawlat Zadran,0,1.2479757992394787
Abdul Razzaq,0,1.2459603912948038
Washeem Abbas,0,1.2459120587580128
ST Finn,0,1.2408568069756511
DL Chahar,0,1.2361222821588413
IK Pathan,0,1.2320597217024898
Syazrul Idrus,0,1.226201746067813
AC Evans,0,1.225555094804465
A Nathwani,0,1.2210401200219292
CB Mpofu,0,1.2207835162110692
SP Narine,0,1.2202704731297858
Washington Sundar,0,1.2176796994284345
N Vanua,0,1.2154547205810684
DM Nakrani,0,1.2111446465993445
NN Odhiambo,0,1.2093328510495112
U Aryaman Sunil,0,1.2054696049297033
Fareed Ahmad,0,1.2048517991240888
BD Glover,0,1.2016546999031135
OC McCoy,0,1.1999904517540045
Al-Amin Hossain,0,1.1941301195226806
Ashiqullah Said,0,1.1927029367161879
Muhammad Wafiq,0,1.1918342523508025
CH Morris,0,1.1910727147774924
AJ Hosein,0,1.1901963733155925
Tanwir Afzal,0,1.188745563880518
JN Frylinck,0,1.1811236754789003
MRJ Watt,0,1.1806335784738817
Junaid Siddiqui,0,1.1785968060282868
BJ Currie,0,1.1747272839893634
NW Bracken,0,1.1733804855005319
Ehsan Khan,0,1.1717641142368362
Kaleemullah,0,1.1697975107227894
LM Jongwe,0,1.1697543322158277
Amjad Sher,0,1.1695293693084543
Mohammad Irfan,0,1.1693860881935636
L Bruce,0,1.1668701371710428
S Lamichhane,0,1.1661130130238915
IO Okpe,0,1.1657597798143624
CR Woakes,0,1.1650248594200348
KM Jarvis,0,1.1645805681341794
TG Southee,0,1.1638345000227832
Fitri Sham,0,1.1628641626380958
D Klein,0,1.1615833961802577
SA Mohandas,0,1.1584626700384903
S Vashisht,0,1.1583658087729112
D Wiese,0,1.1573940191085395
SL Malinga,0,1.1554645349821033
KJ Abbott,0,1.155365088950735
OD Hald,0,1.1538837959267816
MA Starc,0,1.1499439016038566
Sohail Tanvir,0,1.1422874612680454
J Miyaji,0,1.1407881320656055
AD Russell,0,1.138667050439925
NM Coulter-Nile,0,1.137543770613549
AR Patel,0,1.1373767250771154
V Zimonjic,0,1.1367306667245818
Sultan Ahmed,0,1.136088858926849
H Fennell,0,1.1347049505003723
Noman Amjad,0,1.1343921968942097
BAW Mendis,0,1.1334089702726642
MR Adair,0,1.1333284320416508
AL Phehlukwayo,0,1.1317450654294599
JM Anderson,0,1.1309238005034867
Taskin Ahmed,0,1.125868234843217
JO Holder,0,1.1226428950252354
WP Masakadza,0,1.1226059406337043
J Sumerauer,0,1.1218535921142074
DT Johnston,0,1.1216945252704082
P Useni,0,1.121598454347727
B Kumar,0,1.1214608936765493
Imran Anwar,0,1.1212040620125474
P Aho,0,1.1206263894812238
J Little,0,1.120179993454549
Hamid Hassan,0,1.1196531318793561
LN Oluoch,0,1.1166522267806243
Mohammad Wasim,0,1.115797054129085
Asif Bevinje,0,1.1152749667501993
MG Johnson,0,1.114386332011455
Simi Singh,0,1.1124198127837677
I Udana,0,1.1086588521340417
Naseem Shah,0,1.1061909677684483
RK Kiseto,0,1.1043784338955824
TA Boult,0,1.1039128783380607
Dawlat Zadran,0,1.0999297282996652
Mohammed Shami,0,1.0995568260956556
DJG Sammy,0,1.0988320701526963
SR Watson,0,1.098673379806047
JJ Smit,0,1.0985770174345186
DG Blampied,0,1.096183072735731
KD Shah,0,1.093019775786713
S Badree,0,1.0912280954136457
SS Cottrell,0,1.0835786780396017
AS Joseph,0,1.0809306953444402
K Rabada,0,1.080267353089665
B Fernando,0,1.0799068796664193
SM Warnakulasuriya,0,1.0788433834131195
CJ Jordan,0,1.078710482952502
Nadeem Ahmed,0,1.0781497719858741
KMDN Kulasekara,0,1.0777227829166913
Mohammad Hasnain,0,1.0772572875996156
Ghulam Ahmadi,0,1.07692525176018
JE Taylor,0,1.0755338406097987
CA Soper,0,1.075040623009457
Mashrafe Mortaza,0,1.0743086127015995
CAK Rajitha,0,1.073917887633145
Sahel Zadran,0,1.0732480382001626
C Kyewuta,0,1.0694964151055568
TT Bresnan,0,1.0694838178030384
Mohammad Amir,0,1.0676094435251269
DT Tiripano,0,1.0674711309772476
GH Dockrell,0,1.0671007543631728
WB Rankin,0,1.0656580194305962
GF Linde,0,1.0655738637409067
TT Bresnan,0,1.0647499800636844
Waqas Ahmad,0,1.0609701196779289
Mustafizur Rahman,0,1.0581360302742087
D Heyliger,0,1.0563245772553014
KD Mills,0,1.0541442115972615
JJ Bumrah,0,1.053370503736758
MG Bracewell,0,1.0525748317280614
Zahoor Khan,0,1.0525016268422285
Sompal Kami,0,1.0519860974151944
PJ Cummins,0,1.0517154342348514
PWH de Silva,0,1.0500743097527725
HA Chohan,0,1.0481691140882807
SM Sharif,0,1.0466078231636167
Bilal Khan,0,1.0455031506850365
JR Hazlewood,0,1.0444852056105232
M Koli,0,1.0434251736287268
JE Taylor,0,1.042243562485211
FJ Klaassen,0,1.0406311751238202
SCJ Broad,0,1.039155785047325
MR Swart,0,1.0362553677813462
P Kumbhare,0,1.0357314372085107
T Tshose,0,1.034811128041949
DJ Willey,0,1.0344231396838355
KS Leverock,0,1.0342692134138394
M Akayezu,0,1.0324910534396454
R Sakurano-Thomas,0,1.031010646853318
AD Mathews,0,1.0302548996714198
F Damiao Couana,0,1.0277185353928184
CR Woakes,0,1.02748640080666
Raja Adeel,0,1.0267185688484468
AD Russell,0,1.0267144250675733
Shapoor Zadran,0,1.0261664912452246
H Ssenyondo,0,1.0260467903843766
N Pradeep,0,1.0242362775134572
Shakib Al Hasan,0,1.0237657786418783
Umar Adam,0,1.0235388186011514
SN Netravalkar,0,1.0233443567023837
RJ Sidebottom,0,1.02154861451219
AW Hawkins-Kay,0,1.0211405484853717
Najjam Shahzad,0,1.0209050084533557
JW Dernbach,0,1.020855940510437
JA Burrows,0,1.020523678986408
Rahmatullah Mangal,0,1.0200957119640361
PA van Meekeren,0,1.0190985388307299
Gurpratap Singh,0,1.0186069919587062
SM Curran,0,1.0163706478021193
PVD Chameera,0,1.0152127574310439
S Veerapathiran,0,1.0149889093529225
Rubel Hossain,0,1.0135796540201834
K Santokie,0,1.0123411789543137
R Ngarava,0,1.0117956621880515
RP Singh,0,1.010165594791768
Kaleem Sana,0,1.0101483498050046
Shaheen Shah Afridi,0,1.0097962519150185
F Nsubuga,0,1.0072912137945251
TL Chatara,0,1.006934020439888
JA Duffy,0,1.0064500577356799
B Shikongo,0,1.0060721472159013
Pavandeep Singh,0,1.0056546008612783
Mohammad Hasnain,0,1.0054438381866142
Kaleemullah,0,1.0043052759858788
LT Bichard,0,1.0035341731428782
Mujeeb Ur Rahman,0,1.0034561117952172
AC Evans,0,1.0013862949695738
Karan KC,0,1.0007854506675227
Umair Qasim,0,1.0004093899839022
GJ Maxwell,0,0.9998386418478442
NM Coulter-Nile,0,0.9989951956839023
KW Richardson,0,0.9989136576572208
YM Nkanya,0,0.9988450613680278
A Nanda,0,0.9986739702484971
Imad Wasim,0,0.9983477486000096
M Morkel,0,0.9982715889590223
CA Young,0,0.9967373860242226
WJ Cope,0,0.99567423370625
CJ Anderson,0,0.9938534128360857
Avesh Khan,0,0.992742171841773
Dawood Ahmadzai,0,0.9899570488315127
Tanwir Afzal,0,0.9896714122136603
Shafiul Islam,0,0.9886518587240536
S Thakor,0,0.9868671732744829
B Muzarabani,0,0.9866972358533004
Rizwan Haider,0,0.9865715406373369
ND Laegsgaard,0,0.9863673313672477
EJB Miles,0,0.9841677222751354
RE van der Merwe,0,0.9819316574929885
R Ashwin,0,0.9817488313832765
Raja Adeel,0,0.9801406241558729
T van der Gugten,0,0.9797388364294808
MA Wood,0,0.9752249207165191
ST Finn,0,0.9746977425709642
AJ Tye,0,0.9709396072937297
Haris Rauf,0,0.9690242600349683
DV Varghese,0,0.9649357804599323
DW Steyn,0,0.9646335848969865
DT Johnston,0,0.964553910965078
SM Curran,0,0.9639889685827161
AF Milne,0,0.9628380532033629
Raaz Mohammad,0,0.9617133004408651
JD Unadkat,0,0.9613877921056799
T Rossi,0,0.9610518194568185
Z Bimenyimana,0,0.960926888063462
D Klein,0,0.9601525901504724
BJ McCarthy,0,0.9596451091026961
TK Curran,0,0.9592687072579621
KM Jarvis,0,0.9591093116287748
GJ Delany,0,0.9589342444546984
A Nehra,0,0.9575909865662888
Shoriful Islam,0,0.9571607939467832
Washeem Abbas,0,0.9570476541237809
NL McCullum,0,0.9568661538425165
M Faheem,0,0.9564505909529117
WD Parnell,0,0.9562595936016116
KA Jamieson,0,0.9535058271311627
DL Chahar,0,0.951190431823745
FA Allen,0,0.9506377335318421
O Thomas,0,0.9483794684086154
AY Patel,0,0.9474968590390431
Washington Sundar,0,0.9466859922633477
HJ Manenti,0,0.9459365327923777
UT Yadav,0,0.945760822333715
B Lee,0,0.9446044422403278
LN Oluoch,0,0.943908892663827
Imran Tahir,0,0.9425310911263152
Rumman Raees,0,0.941899336951773
Rubel Hossain,0,0.940852318590866
Aizaz Khan,0,0.9398158857264256
Mohammad Naveed,0,0.9397792004273675
Junaid Siddique,0,0.9395939706644183
Mohammad Nawaz,0,0.9347958427079699
Saad Bin Zafar,0,0.9346117370096823
Junaid Khan,0,0.9326032999413927
Mohammad Nabi,0,0.9312069780468273
Nasum Ahmed,0,0.9311514101477852
DM Nakrani,0,0.9293352945557964
W Madhevere,0,0.9254676485681934
MJ Santner,0,0.9251971764496802
Fanyan Mughal,0,0.9237943735246578
SO Ngoche,0,0.9231222029535939
AU Rashid,0,0.9223741028490586
H Lakov,0,0.9222816438381956
JDS Neesham,0,0.9207278810918839
Al-Amin Hossain,0,0.9197062074545211
Bilal Muhammad,0,0.9190837916808487
KD Shah,0,0.9176089076433889
TS Chisoro,0,0.9173070926717004
Mohammad Kamran,0,0.916769403025802
Qadeer Ahmed,0,0.9164588793178582
MJ Henry,0,0.9163445845957328
B Stanlake,0,0.9150720820516645
Mohammad Saifuddin,0,0.9150173824275809
SA Ahmad,0,0.9134692313901761
BM Tickner,0,0.9133838300908861
