Bowler,Match Phase,Innings,Wkt,Dot balls,4s,6s,Runs Conceded,No of Balls,BA,SR,BBI,ECON,BWI,SPI,DBP,BP,BWI_normalized,DBP_normalized,BP_normalized,Econ_normalized,BA_log,SR_log,SPI_log,BBI_log,Cluster
A Andrews,DEATH,1,3,11,3,0,24,24,8.0,8.0,24.0,6.0,0,3.0,45.83333333333333,12.5,-0.722620504445314,0.3660899990732935,-0.2074352800159441,-0.5414333106439657,2.1972245773362196,2.1972245773362196,1.3862943611198906,3.2188758248682006,0
A Ashokan,DEATH,1,2,2,4,2,44,18,22.0,9.0,18.0,14.666666666666668,0,2.0,11.11111111111111,33.33333333333333,-0.722620504445314,-2.0735940170693845,2.1675474335462126,2.75985193053311,3.1354942159291497,2.302585092994046,1.0986122886681096,2.9444389791664403,0
A Ashokan,DEATH,2,4,8,2,1,41,30,10.25,7.5,15.0,8.2,1,3.0,26.666666666666668,10.0,1.3836222061859889,-0.9806155778374644,-0.49243320564340304,0.29658525057790697,2.4203681286504293,2.1400661634962708,1.3862943611198906,2.772588722239781,1
A Bishnoi,DEATH,1,5,9,3,6,79,36,15.8,7.2,36.0,13.166666666666668,1,0.0,25.0,25.0,1.3836222061859889,-1.097720410612313,1.2175543481213504,2.188475638790924,2.8213788864092133,2.1041341542702074,0.0,3.6109179126442243,1
A Bohara,DEATH,1,23,54,14,7,237,204,10.304347826086955,8.869565217391305,204.0,6.970588235294118,1,0.0,26.47058823529412,10.294117647058822,1.3836222061859889,-0.9943926169874466,-0.4589040379225256,-0.1717192395166688,2.425187415086378,2.289455801552253,0.0,5.3230099791384085,1
A Bohara,DEATH,2,4,29,5,5,101,80,25.25,20.0,40.0,7.574999999999999,1,3.0,36.25,12.5,1.3836222061859889,-0.30726278938208534,-0.2074352800159441,0.05851179568532944,3.2676659890376327,3.044522437723423,1.3862943611198906,3.713572066704308,1
A Dananjaya,DEATH,1,3,8,1,4,49,30,16.333333333333332,10.0,30.0,9.8,0,3.0,26.666666666666668,16.666666666666664,-0.722620504445314,-0.9806155778374644,0.26756126269648717,0.906053295102906,2.8526314299133175,2.3978952727983707,1.3862943611198906,3.4339872044851463,0
A Dhingra,DEATH,1,5,7,3,1,37,30,7.4,6.0,30.0,7.4,1,0.0,23.33333333333333,13.333333333333334,1.3836222061859889,-1.214825243387162,-0.11243597147345774,-0.008148771684591872,2.128231705849268,1.9459101490553132,0.0,3.4339872044851463,1
A Dhingra,DEATH,2,3,7,3,4,58,32,19.33333333333333,10.666666666666666,16.0,10.875,0,1.5,21.875,21.875,-0.722620504445314,-1.3172919720651541,0.8613069410870269,1.3155396375181392,3.0122615755052013,2.456735772821304,0.9162907318741551,2.833213344056216,0
A Dutt,DEATH,1,1,1,0,1,12,6,12.0,6.0,6.0,12.0,0,1.0,16.666666666666664,16.666666666666664,-0.722620504445314,-1.683244574486556,0.26756126269648717,1.7440718563247788,2.5649493574615367,1.9459101490553132,0.6931471805599453,1.9459101490553132,0
