Bowler,Match Phase,Innings,Wkt,Dot balls,4s,6s,Runs Conceded,No of Balls,BA,SR,BBI,ECON,BWI,SPI,DBP,BP,BWI_normalized,DBP_normalized,BP_normalized,Econ_normalized,BA_log,SR_log,SPI_log,BBI_log,Cluster
A Ahmadhel,MIDDLEOVERS,2,1,4,2,1,21,10,21.0,10.0,5.0,12.6,0,0.5,40.0,30.0,-0.722620504445314,-0.04377691563867611,1.7875501993762684,1.972622373021653,3.091042453358316,2.3978952727983707,0.4054651081081644,1.791759469228055,0
A Andrews,MIDDLEOVERS,1,1,11,2,0,33,30,33.0,30.0,30.0,6.6000000000000005,0,1.0,36.66666666666666,6.666666666666667,-0.722620504445314,-0.2779865811883739,-0.8724304398133482,-0.31288279394709106,3.5263605246161616,3.4339872044851463,0.6931471805599453,3.4339872044851463,0
A Ashok,MIDDLEOVERS,2,2,9,2,1,28,24,14.0,12.0,12.0,7.0,0,1.0,37.5,12.5,-0.722620504445314,-0.21943416480094893,-0.2074352800159441,-0.16051578281584164,2.70805020110221,2.5649493574615367,0.6931471805599453,2.5649493574615367,0
A Ashokan,MIDDLEOVERS,1,6,75,13,5,209,186,34.833333333333336,31.0,186.0,6.741935483870967,1,0.0,40.32258064516129,9.67741935483871,1.3836222061859889,-0.021111464133866855,-0.529207131530817,-0.2588170803198739,3.578878558899608,3.4657359027997265,0.0,5.231108616854587,1
A Ashokan,MIDDLEOVERS,2,2,15,5,3,72,48,36.0,24.0,24.0,9.0,0,1.0,31.25,16.666666666666664,-0.722620504445314,-0.658577287706631,0.26756126269648717,0.6013192728404065,3.6109179126442243,3.2188758248682006,0.6931471805599453,3.2188758248682006,0
A Bhattarai,MIDDLEOVERS,2,2,9,1,0,12,18,6.0,9.0,9.0,4.0,0,1.0,50.0,5.555555555555555,-0.722620504445314,0.6588520810104153,-0.9990961845366634,-1.3032683663002138,1.9459101490553132,2.302585092994046,0.6931471805599453,2.302585092994046,0
A Bishnoi,MIDDLEOVERS,1,1,5,0,1,18,12,18.0,12.0,12.0,9.0,0,1.0,41.66666666666667,8.333333333333332,-0.722620504445314,0.07332791713617277,-0.6824318227283758,0.6013192728404065,2.9444389791664403,2.5649493574615367,0.6931471805599453,2.5649493574615367,0
A Bishnoi,MIDDLEOVERS,2,1,8,1,0,7,12,7.0,12.0,6.0,3.5,0,0.5,66.66666666666666,8.333333333333332,-0.722620504445314,1.8299004087589001,-0.6824318227283758,-1.4937271302142758,2.0794415416798357,2.5649493574615367,0.4054651081081644,1.9459101490553132,0
A Bohara,MIDDLEOVERS,1,6,62,14,7,205,180,34.166666666666664,30.0,180.0,6.833333333333333,1,0.0,34.44444444444444,11.666666666666666,1.3836222061859889,-0.43412635822150475,-0.3024345885584305,-0.22400203745386243,3.5600986642480112,3.4339872044851463,0.0,5.198497031265826,1
A Bohara,MIDDLEOVERS,2,7,45,12,3,132,114,18.857142857142858,16.285714285714285,57.0,6.947368421052632,1,6.0,39.47368421052632,13.157894736842104,1.3836222061859889,-0.08075738914652257,-0.132435825903455,-0.18056407375416386,2.9885637840753785,2.849880396541428,1.9459101490553132,4.060443010546419,1
A Conteh,MIDDLEOVERS,1,1,14,2,0,51,48,51.0,48.0,48.0,6.375,0,1.0,29.166666666666668,4.166666666666666,-0.722620504445314,-0.8049583286751916,-1.1574283654408073,-0.3985892377084192,3.9512437185814275,3.8918202981106265,0.6931471805599453,3.8918202981106265,0
A Conteh,MIDDLEOVERS,2,6,28,2,2,52,54,8.666666666666666,9.0,27.0,5.777777777777778,1,5.0,51.85185185185185,7.4074074074074066,1.3836222061859889,0.7889685618713578,-0.787986609997805,-0.6260816501613267,2.268683541318364,2.302585092994046,1.791759469228055,3.332204510175204,1
A Dananjaya,MIDDLEOVERS,1,2,46,11,6,184,154,92.0,77.0,154.0,7.1688311688311686,0,2.0,29.87012987012987,11.03896103896104,-0.722620504445314,-0.7555309641923011,-0.3739925092787447,-0.09620503136434028,4.532599493153256,4.356708826689592,1.0986122886681096,5.043425116919247,0
A Dananjaya,MIDDLEOVERS,2,6,32,5,11,188,138,31.33333333333333,23.0,69.0,8.173913043478262,1,5.0,23.18840579710145,11.594202898550725,1.3836222061859889,-1.225008272324105,-0.3106953979969075,0.2866482715910869,3.476098689835273,3.1780538303479458,1.791759469228055,4.248495242049359,1
A Denuwan,MIDDLEOVERS,2,1,8,1,2,45,36,45.0,36.0,18.0,7.5,0,0.5,22.22222222222222,8.333333333333332,-0.722620504445314,-1.2928951319037274,-0.6824318227283758,0.0299429810982204,3.828641396489095,3.6109179126442243,0.4054651081081644,2.9444389791664403,0
A Dhingra,MIDDLEOVERS,2,4,29,10,2,101,90,25.25,22.5,45.0,6.733333333333333,1,3.0,32.22222222222222,13.333333333333334,1.3836222061859889,-0.5902661352546361,-0.11243597147345774,-0.2620937902366747,3.2676659890376327,3.157000421150113,1.3862943611198906,3.828641396489095,1
A Djorovic,MIDDLEOVERS,1,1,8,3,7,92,43,92.0,43.0,43.0,12.83720930232558,0,1.0,18.6046511627907,23.25581395348837,-0.722620504445314,-1.5470761642832436,1.0187185860556813,2.062979554041347,4.532599493153256,3.784189633918261,0.6931471805599453,3.784189633918261,0
A Dutt,MIDDLEOVERS,2,1,3,0,0,10,12,10.0,12.0,6.0,5.0,0,0.5,25.0,0.0,-0.722620504445314,-1.097720410612313,-1.6324249081532387,-0.9223508384720898,2.3978952727983707,2.5649493574615367,0.4054651081081644,1.9459101490553132,0
A Flintoff,MIDDLEOVERS,2,1,13,3,0,29,30,29.0,30.0,15.0,5.8,0,0.5,43.333333333333336,10.0,-0.722620504445314,0.19043274991102116,-0.49243320564340304,-0.6176168162095906,3.4011973816621555,3.4339872044851463,0.4054651081081644,2.772588722239781,0
A Gbla,MIDDLEOVERS,1,5,27,5,1,64,60,12.8,12.0,60.0,6.4,1,0.0,45.0,10.0,1.3836222061859889,0.30753758268586956,-0.49243320564340304,-0.38906629951271593,2.624668592163159,2.5649493574615367,0.0,4.110873864173311,1
A Gbla,MIDDLEOVERS,2,1,6,1,0,11,12,11.0,12.0,6.0,5.5,0,0.5,50.0,8.333333333333332,-0.722620504445314,0.6588520810104153,-0.6824318227283758,-0.7318920745580277,2.4849066497880004,2.5649493574615367,0.4054651081081644,1.9459101490553132,0
A Husain,MIDDLEOVERS,1,2,15,3,1,46,42,23.0,21.0,42.0,6.571428571428572,0,2.0,35.714285714285715,9.523809523809524,-0.722620504445314,-0.3449036284882866,-0.5467185248105381,-0.32376615188503743,3.1780538303479458,3.091042453358316,1.0986122886681096,3.7612001156935624,0
A Husain,MIDDLEOVERS,2,1,13,2,1,38,36,38.0,36.0,18.0,6.333333333333334,0,0.5,36.11111111111111,8.333333333333332,-0.722620504445314,-0.31702152544665635,-0.6824318227283758,-0.4144608013679241,3.6635616461296463,3.6109179126442243,0.4054651081081644,2.9444389791664403,0
A Kheterpal,MIDDLEOVERS,1,4,44,9,1,113,102,28.25,25.5,102.0,6.647058823529412,1,0.0,43.13725490196079,9.803921568627452,1.3836222061859889,0.17665571076103903,-0.5147859841239879,-0.29495726322576765,3.3758795736778655,3.2771447329921766,0.0,4.634728988229636,1
A Kheterpal,MIDDLEOVERS,2,2,33,9,2,92,82,46.0,41.0,41.0,6.731707317073171,0,1.0,40.2439024390244,13.414634146341465,-0.722620504445314,-0.02663962303747787,-0.10316774624980046,-0.26271316833070396,3.8501476017100584,3.7376696182833684,0.6931471805599453,3.7376696182833684,0
A Kirschbaum,MIDDLEOVERS,1,1,13,6,5,84,48,84.0,48.0,48.0,10.5,0,1.0,27.08333333333333,22.916666666666664,-0.722620504445314,-0.9513393696437528,0.9800560767651344,1.1726955645825927,4.442651256490317,3.8918202981106265,0.6931471805599453,3.8918202981106265,0
A Kirschbaum,MIDDLEOVERS,2,4,53,4,5,106,103,26.5,25.75,51.5,6.174757281553398,1,3.0,51.45631067961165,8.737864077669903,1.3836222061859889,0.761176692172904,-0.636315653532994,-0.47486519898468194,3.3141860046725258,3.2865344733420154,1.3862943611198906,3.960813169597578,1
