Bowler,Match Phase,Innings,Wkt,Dot balls,4s,6s,Runs Conceded,No of Balls,BA,SR,BBI,ECON,BWI,SPI,DBP,BP,BWI_normalized,DBP_normalized,BP_normalized,Econ_normalized,BA_log,SR_log,SPI_log,BBI_log,Cluster
A Amado,POWERPLAY,1,1,6,0,0,8,6,8.0,6.0,6.0,8.0,0,1.0,100.0,0.0,-0.722620504445314,4.171997064255872,-1.6324249081532387,0.22040174501228244,2.1972245773362196,1.9459101490553132,0.6931471805599453,1.9459101490553132,1
A Andrews,POWERPLAY,1,1,5,1,0,4,6,4.0,6.0,6.0,4.0,0,1.0,83.33333333333334,16.666666666666664,-0.722620504445314,3.000948736507387,0.26756126269648717,-1.3032683663002138,1.6094379124341003,1.9459101490553132,0.6931471805599453,1.9459101490553132,1
A Ashokan,POWERPLAY,1,2,10,1,0,16,18,8.0,9.0,18.0,5.333333333333333,0,2.0,55.55555555555556,5.555555555555555,-0.722620504445314,1.049201523593244,-0.9990961845366634,-0.7953783291960486,2.1972245773362196,2.302585092994046,1.0986122886681096,2.9444389791664403,1
A Bhargava,POWERPLAY,1,1,7,3,0,14,12,14.0,12.0,12.0,7.0,0,1.0,58.333333333333336,25.0,-0.722620504445314,1.244376244884658,1.2175543481213504,-0.16051578281584164,2.70805020110221,2.5649493574615367,0.6931471805599453,2.5649493574615367,1
A Bishnoi,POWERPLAY,1,2,45,9,2,102,81,51.0,40.5,81.0,7.555555555555555,0,2.0,55.55555555555556,13.580246913580249,-0.722620504445314,1.049201523593244,-0.08428802820160981,0.05110506597756055,3.9512437185814275,3.725693427236653,1.0986122886681096,4.406719247264253,1
A Bishnoi,POWERPLAY,2,3,22,11,5,95,54,31.666666666666668,18.0,27.0,10.555555555555555,0,1.5,40.74074074074074,29.629629629629623,-0.722620504445314,0.008269676705701006,1.7453282844684959,1.1938576494619328,3.4863551900024623,2.9444389791664403,0.9162907318741551,3.332204510175204,1
A Bohara,POWERPLAY,1,5,31,5,1,51,60,10.2,12.0,60.0,5.1,1,0.0,51.66666666666667,10.0,1.3836222061859889,0.7759569137852641,-0.49243320564340304,-0.8842590856892775,2.4159137783010487,2.5649493574615367,0.0,4.110873864173311,0
A Bohara,POWERPLAY,2,2,26,3,0,39,48,19.5,24.0,24.0,4.875,0,1.0,54.16666666666666,6.25,-0.722620504445314,0.9516141629475359,-0.9199300940845914,-0.9699655294506053,3.0204248861443626,3.2188758248682006,0.6931471805599453,3.2188758248682006,1
A Conteh,POWERPLAY,2,1,3,2,0,11,6,11.0,6.0,3.0,11.0,0,0.5,50.0,33.33333333333333,-0.722620504445314,0.6588520810104153,2.1675474335462126,1.3631543284966547,2.4849066497880004,1.9459101490553132,0.4054651081081644,1.3862943611198906,1
A Dananjaya,POWERPLAY,1,1,26,13,5,127,84,127.0,84.0,84.0,9.071428571428571,0,1.0,30.952380952380956,21.428571428571427,-0.722620504445314,-0.6794888649878537,0.8104144543678375,0.6285276676852725,4.852030263919617,4.442651256490317,0.6931471805599453,4.442651256490317,1
A Dananjaya,POWERPLAY,2,13,88,22,15,246,180,18.923076923076923,13.846153846153848,90.0,8.2,1,12.0,48.888888888888886,20.555555555555557,1.3836222061859889,0.5807821924938493,0.7108913692280904,0.29658525057790697,2.991878704238001,2.697740831443349,2.5649493574615367,4.51085950651685,0
A Dhingra,POWERPLAY,1,2,5,1,2,20,12,10.0,6.0,12.0,10.0,0,2.0,41.66666666666667,25.0,-0.722620504445314,0.07332791713617277,1.2175543481213504,0.9822368006685306,2.3978952727983707,1.9459101490553132,1.0986122886681096,2.5649493574615367,1
A Dhingra,POWERPLAY,2,1,10,5,0,34,24,34.0,24.0,12.0,8.5,0,0.5,41.66666666666667,20.833333333333336,-0.722620504445314,0.07332791713617277,0.7425578054089192,0.41086050892634446,3.5553480614894135,3.2188758248682006,0.4054651081081644,2.5649493574615367,1
A Dutt,POWERPLAY,2,2,15,2,3,34,24,17.0,12.0,12.0,8.5,0,1.0,62.5,20.833333333333336,-0.722620504445314,1.5371383268217793,0.7425578054089192,0.41086050892634446,2.8903717578961645,2.5649493574615367,0.6931471805599453,2.5649493574615367,1
A Flintoff,POWERPLAY,1,2,31,4,1,47,54,23.5,27.0,54.0,5.222222222222222,0,2.0,57.407407407407405,9.25925925925926,-0.722620504445314,1.1793180044541864,-0.5768770354589464,-0.8377024989547288,3.1986731175506815,3.332204510175204,1.0986122886681096,4.007333185232471,1
